fixlog20250324065651.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-06:58:33, 55=MSFT, 40=2, 38=30112, 21=2, 11=algo20250324065833, 60=2025-03-24-06:58:33, 54=1, 44=59.89, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2025-03-24-07:05:18, 55=ATEN, 40=2, 38=815, 21=2, 11=algo20250324070518, 60=2025-03-24-07:05:18, 54=2, 44=6.45, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=96, 49=M3, 56=MS, 52=2025-03-24-07:05:19, 55=AIR, 40=2, 38=18932, 21=2, 11=algo20250324070519, 60=2025-03-24-07:05:19, 54=2, 44=16.31, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2025-03-24-07:05:21, 55=AAN, 40=2, 38=495, 21=2, 11=algo20250324070521, 60=2025-03-24-07:05:21, 54=2, 44=25.68, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=99, 49=M3, 56=MS, 52=2025-03-24-07:05:23, 55=ABB, 40=2, 38=10377, 21=2, 11=algo20250324070523, 60=2025-03-24-07:05:23, 54=2, 44=17.42, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2025-03-24-07:05:25, 55=ABT, 40=2, 38=29463, 21=2, 11=algo20250324070525, 60=2025-03-24-07:05:25, 54=2, 44=94.04, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=103, 49=M3, 56=MS, 52=2025-03-24-07:05:27, 55=ABBV, 40=2, 38=9189, 21=2, 11=algo20250324070527, 60=2025-03-24-07:05:27, 54=2, 44=83.60, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2025-03-24-07:05:30, 55=ANF, 40=2, 38=7463, 21=2, 11=algo20250324070530, 60=2025-03-24-07:05:30, 54=2, 44=9.10, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2025-03-24-07:05:31, 55=ABM, 40=2, 38=1880, 21=2, 11=algo20250324070531, 60=2025-03-24-07:05:31, 54=1, 44=31.64, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2025-03-24-07:05:32, 55=AAPL, 40=2, 38=15831, 21=2, 11=algo20250324070532, 60=2025-03-24-07:05:32, 54=2, 44=284.65, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2025-03-24-07:05:35, 55=PEP, 40=2, 38=2180, 21=2, 11=algo20250324070535, 60=2025-03-24-07:05:35, 54=1, 44=45.43, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2025-03-24-07:05:38, 55=, 40=2, 38=11000, 21=2, 11=algo20250324070538, 60=2025-03-24-07:05:38, 54=1, 44=, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2025-03-24-07:04:19, 55=AAPL, 40=2, 38=4159, 21=2, 11=algo20250324070419, 60=2025-03-24-07:04:19, 54=1, 44=1276.37, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-07:04:21, 55=MSFT, 40=2, 38=32588, 21=2, 11=algo20250324070421, 60=2025-03-24-07:04:21, 54=1, 44=59.89, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2025-03-24-07:04:23, 55=AMZN, 40=2, 38=1142, 21=2, 11=algo20250324070423, 60=2025-03-24-07:04:23, 54=1, 44=133.47, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=58, 49=M3, 56=MS, 52=2025-03-24-07:04:27, 55=FB, 40=2, 38=2564, 21=2, 11=algo20250324070427, 60=2025-03-24-07:04:27, 54=1, 44=430.62, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2025-03-24-07:04:29, 55=GOOG, 40=2, 38=13827, 21=2, 11=algo20250324070429, 60=2025-03-24-07:04:29, 54=1, 44=42.05, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2025-03-24-07:04:31, 55=GOOGL, 40=2, 38=8403, 21=2, 11=algo20250324070431, 60=2025-03-24-07:04:31, 54=1, 44=289.20, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2025-03-24-07:04:34, 55=INTC, 40=2, 38=18147, 21=2, 11=algo20250324070434, 60=2025-03-24-07:04:34, 54=1, 44=339.13, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2025-03-24-07:04:36, 55=PEP, 40=2, 38=10838, 21=2, 11=algo20250324070436, 60=2025-03-24-07:04:36, 54=2, 44=36.21, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2025-03-24-07:04:38, 55=NFLX, 40=2, 38=8907, 21=2, 11=algo20250324070438, 60=2025-03-24-07:04:38, 54=2, 44=306.71, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2025-03-24-07:04:41, 55=CSCO, 40=2, 38=28260, 21=2, 11=algo20250324070441, 60=2025-03-24-07:04:41, 54=2, 44=233.73, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2025-03-24-07:04:44, 55=AMGN, 40=2, 38=28224, 21=2, 11=algo20250324070444, 60=2025-03-24-07:04:44, 54=1, 44=116.62, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2025-03-24-07:04:45, 55=PYPL, 40=2, 38=31990, 21=2, 11=algo20250324070445, 60=2025-03-24-07:04:45, 54=2, 44=723.61, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2025-03-24-07:04:48, 55=TSLA, 40=2, 38=29777, 21=2, 11=algo20250324070448, 60=2025-03-24-07:04:48, 54=1, 44=503.77, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=76, 49=M3, 56=MS, 52=2025-03-24-07:04:50, 55=TXN, 40=2, 38=6004, 21=2, 11=algo20250324070450, 60=2025-03-24-07:04:50, 54=2, 44=112.46, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2025-03-24-07:04:53, 55=AVGO, 40=2, 38=3439, 21=2, 11=algo20250324070453, 60=2025-03-24-07:04:53, 54=2, 44=262.99, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=80, 49=M3, 56=MS, 52=2025-03-24-07:04:56, 55=GILD, 40=2, 38=20834, 21=2, 11=algo20250324070456, 60=2025-03-24-07:04:56, 54=2, 44=82.91, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=82, 49=M3, 56=MS, 52=2025-03-24-07:04:59, 55=SBUX, 40=2, 38=15158, 21=2, 11=algo20250324070459, 60=2025-03-24-07:04:59, 54=1, 44=75.71, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2025-03-24-07:05:01, 55=QCOM, 40=2, 38=7208, 21=2, 11=algo20250324070501, 60=2025-03-24-07:05:01, 54=2, 44=75.47, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2025-03-24-07:05:03, 55=TMUS, 40=2, 38=10224, 21=2, 11=algo20250324070503, 60=2025-03-24-07:05:03, 54=1, 44=90.74, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2025-03-24-07:05:06, 55=MDLZ, 40=2, 38=10675, 21=2, 11=algo20250324070506, 60=2025-03-24-07:05:06, 54=1, 44=52.26, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2025-03-24-07:05:07, 55=BAC, 40=2, 38=9931, 21=2, 11=algo20250324070507, 60=2025-03-24-07:05:07, 54=2, 44=22.03, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2025-03-24-07:05:09, 55=DDD, 40=2, 38=20167, 21=2, 11=algo20250324070509, 60=2025-03-24-07:05:09, 54=1, 44=8.01, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2025-03-24-07:05:12, 55=MMM, 40=2, 38=16636, 21=2, 11=algo20250324070512, 60=2025-03-24-07:05:12, 54=2, 44=146.98, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=92, 49=M3, 56=MS, 52=2025-03-24-07:05:13, 55=WBAI, 40=2, 38=31676, 21=2, 11=algo20250324070513, 60=2025-03-24-07:05:13, 54=1, 44=4.10, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=94, 49=M3, 56=MS, 52=2025-03-24-07:05:15, 55=WUBA, 40=2, 38=7126, 21=2, 11=algo20250324070515, 60=2025-03-24-07:05:15, 54=1, 44=51.41, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=96, 49=M3, 56=MS, 52=2025-03-24-07:05:17, 55=EGHT, 40=2, 38=977, 21=2, 11=algo20250324070517, 60=2025-03-24-07:05:17, 54=2, 44=17.03, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=98, 49=M3, 56=MS, 52=2025-03-24-07:05:19, 55=AHC, 40=2, 38=24657, 21=2, 11=algo20250324070519, 60=2025-03-24-07:05:19, 54=1, 44=1.40, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2025-03-24-07:05:21, 55=AOS, 40=2, 38=14781, 21=2, 11=algo20250324070521, 60=2025-03-24-07:05:21, 54=2, 44=40.38, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2025-03-24-07:05:22, 55=ATEN, 40=2, 38=11752, 21=2, 11=algo20250324070522, 60=2025-03-24-07:05:22, 54=2, 44=6.45, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2025-03-24-07:05:24, 55=AIR, 40=2, 38=1744, 21=2, 11=algo20250324070524, 60=2025-03-24-07:05:24, 54=2, 44=16.31, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2025-03-24-07:05:26, 55=AAN, 40=2, 38=8998, 21=2, 11=algo20250324070526, 60=2025-03-24-07:05:26, 54=2, 44=25.68, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2025-03-24-07:05:29, 55=ABB, 40=2, 38=6588, 21=2, 11=algo20250324070529, 60=2025-03-24-07:05:29, 54=1, 44=17.42, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=108, 49=M3, 56=MS, 52=2025-03-24-07:05:31, 55=ABT, 40=2, 38=12886, 21=2, 11=algo20250324070531, 60=2025-03-24-07:05:31, 54=2, 44=94.04, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2025-03-24-07:05:33, 55=ABBV, 40=2, 38=5405, 21=2, 11=algo20250324070533, 60=2025-03-24-07:05:33, 54=1, 44=83.60, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2025-03-24-07:05:34, 55=ANF, 40=2, 38=12481, 21=2, 11=algo20250324070534, 60=2025-03-24-07:05:34, 54=2, 44=9.10, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2025-03-24-07:05:36, 55=ABM, 40=2, 38=7848, 21=2, 11=algo20250324070536, 60=2025-03-24-07:05:36, 54=2, 44=31.64, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=114, 49=M3, 56=MS, 52=2025-03-24-07:05:37, 55=AAPL, 40=2, 38=31951, 21=2, 11=algo20250324070537, 60=2025-03-24-07:05:37, 54=2, 44=284.65, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=116, 49=M3, 56=MS, 52=2025-03-24-07:05:39, 55=PEP, 40=2, 38=29699, 21=2, 11=algo20250324070539, 60=2025-03-24-07:05:39, 54=2, 44=45.43, 10=0252,
fixlog20250324070239.log:8=FIX4.4, 35=D, 34=117, 49=M3, 56=MS, 52=2025-03-24-07:05:44, 55=, 40=2, 38=8748, 21=2, 11=algo20250324070544, 60=2025-03-24-07:05:44, 54=2, 44=, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2025-03-24-07:09:26, 55=AAPL, 40=2, 38=20346, 21=2, 11=algo20250324070926, 60=2025-03-24-07:09:26, 54=1, 44=1276.37, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-07:09:28, 55=MSFT, 40=2, 38=16996, 21=2, 11=algo20250324070928, 60=2025-03-24-07:09:28, 54=2, 44=59.89, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2025-03-24-07:09:32, 55=AMZN, 40=2, 38=26411, 21=2, 11=algo20250324070932, 60=2025-03-24-07:09:32, 54=2, 44=133.47, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2025-03-24-07:09:34, 55=FB, 40=2, 38=30091, 21=2, 11=algo20250324070934, 60=2025-03-24-07:09:34, 54=2, 44=430.62, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=58, 49=M3, 56=MS, 52=2025-03-24-07:09:36, 55=GOOG, 40=2, 38=19883, 21=2, 11=algo20250324070936, 60=2025-03-24-07:09:36, 54=2, 44=42.05, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=60, 49=M3, 56=MS, 52=2025-03-24-07:09:38, 55=GOOGL, 40=2, 38=19479, 21=2, 11=algo20250324070938, 60=2025-03-24-07:09:38, 54=2, 44=289.20, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=62, 49=M3, 56=MS, 52=2025-03-24-07:09:41, 55=INTC, 40=2, 38=30551, 21=2, 11=algo20250324070941, 60=2025-03-24-07:09:41, 54=2, 44=339.13, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2025-03-24-07:09:43, 55=PEP, 40=2, 38=30705, 21=2, 11=algo20250324070943, 60=2025-03-24-07:09:43, 54=2, 44=36.21, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2025-03-24-07:09:46, 55=NFLX, 40=2, 38=16111, 21=2, 11=algo20250324070946, 60=2025-03-24-07:09:46, 54=2, 44=306.71, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2025-03-24-07:09:48, 55=CSCO, 40=2, 38=17444, 21=2, 11=algo20250324070948, 60=2025-03-24-07:09:48, 54=1, 44=233.73, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2025-03-24-07:09:50, 55=AMGN, 40=2, 38=24431, 21=2, 11=algo20250324070950, 60=2025-03-24-07:09:50, 54=1, 44=116.62, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=70, 49=M3, 56=MS, 52=2025-03-24-07:09:51, 55=PYPL, 40=2, 38=31550, 21=2, 11=algo20250324070951, 60=2025-03-24-07:09:51, 54=2, 44=723.61, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2025-03-24-07:09:53, 55=TSLA, 40=2, 38=32473, 21=2, 11=algo20250324070953, 60=2025-03-24-07:09:53, 54=2, 44=503.77, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2025-03-24-07:09:54, 55=TXN, 40=2, 38=1206, 21=2, 11=algo20250324070954, 60=2025-03-24-07:09:54, 54=1, 44=112.46, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2025-03-24-07:09:57, 55=AVGO, 40=2, 38=15977, 21=2, 11=algo20250324070957, 60=2025-03-24-07:09:57, 54=1, 44=262.99, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2025-03-24-07:09:59, 55=GILD, 40=2, 38=12529, 21=2, 11=algo20250324070959, 60=2025-03-24-07:09:59, 54=2, 44=82.91, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2025-03-24-07:10:00, 55=SBUX, 40=2, 38=32259, 21=2, 11=algo20250324071000, 60=2025-03-24-07:10:00, 54=2, 44=75.71, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2025-03-24-07:10:02, 55=QCOM, 40=2, 38=12232, 21=2, 11=algo20250324071002, 60=2025-03-24-07:10:02, 54=1, 44=75.47, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2025-03-24-07:10:04, 55=TMUS, 40=2, 38=14743, 21=2, 11=algo20250324071004, 60=2025-03-24-07:10:04, 54=2, 44=90.74, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2025-03-24-07:10:07, 55=MDLZ, 40=2, 38=11447, 21=2, 11=algo20250324071007, 60=2025-03-24-07:10:07, 54=2, 44=52.26, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2025-03-24-07:10:08, 55=BAC, 40=2, 38=723, 21=2, 11=algo20250324071008, 60=2025-03-24-07:10:08, 54=1, 44=22.03, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2025-03-24-07:10:10, 55=DDD, 40=2, 38=22520, 21=2, 11=algo20250324071010, 60=2025-03-24-07:10:10, 54=2, 44=8.01, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2025-03-24-07:10:11, 55=MMM, 40=2, 38=7935, 21=2, 11=algo20250324071011, 60=2025-03-24-07:10:11, 54=1, 44=146.98, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2025-03-24-07:10:13, 55=WBAI, 40=2, 38=31132, 21=2, 11=algo20250324071013, 60=2025-03-24-07:10:13, 54=1, 44=4.10, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2025-03-24-07:10:14, 55=WUBA, 40=2, 38=4146, 21=2, 11=algo20250324071014, 60=2025-03-24-07:10:14, 54=1, 44=51.41, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=92, 49=M3, 56=MS, 52=2025-03-24-07:10:17, 55=EGHT, 40=2, 38=22247, 21=2, 11=algo20250324071017, 60=2025-03-24-07:10:17, 54=1, 44=17.03, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=94, 49=M3, 56=MS, 52=2025-03-24-07:10:20, 55=AHC, 40=2, 38=5768, 21=2, 11=algo20250324071020, 60=2025-03-24-07:10:20, 54=1, 44=1.40, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=96, 49=M3, 56=MS, 52=2025-03-24-07:10:22, 55=AOS, 40=2, 38=25798, 21=2, 11=algo20250324071022, 60=2025-03-24-07:10:22, 54=2, 44=40.38, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=98, 49=M3, 56=MS, 52=2025-03-24-07:10:24, 55=ATEN, 40=2, 38=14872, 21=2, 11=algo20250324071024, 60=2025-03-24-07:10:24, 54=1, 44=6.45, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2025-03-24-07:10:27, 55=AIR, 40=2, 38=3002, 21=2, 11=algo20250324071027, 60=2025-03-24-07:10:27, 54=1, 44=16.31, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2025-03-24-07:10:29, 55=AAN, 40=2, 38=10419, 21=2, 11=algo20250324071029, 60=2025-03-24-07:10:29, 54=1, 44=25.68, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2025-03-24-07:10:31, 55=ABB, 40=2, 38=5535, 21=2, 11=algo20250324071031, 60=2025-03-24-07:10:31, 54=2, 44=17.42, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2025-03-24-07:10:33, 55=ABT, 40=2, 38=4986, 21=2, 11=algo20250324071033, 60=2025-03-24-07:10:33, 54=2, 44=94.04, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=108, 49=M3, 56=MS, 52=2025-03-24-07:10:36, 55=ABBV, 40=2, 38=8546, 21=2, 11=algo20250324071036, 60=2025-03-24-07:10:36, 54=2, 44=83.60, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2025-03-24-07:10:39, 55=ANF, 40=2, 38=22755, 21=2, 11=algo20250324071039, 60=2025-03-24-07:10:39, 54=2, 44=9.10, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=112, 49=M3, 56=MS, 52=2025-03-24-07:10:43, 55=ABM, 40=2, 38=17510, 21=2, 11=algo20250324071043, 60=2025-03-24-07:10:43, 54=2, 44=31.64, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2025-03-24-07:10:46, 55=AAPL, 40=2, 38=25361, 21=2, 11=algo20250324071046, 60=2025-03-24-07:10:46, 54=2, 44=284.65, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=114, 49=M3, 56=MS, 52=2025-03-24-07:10:50, 55=PEP, 40=2, 38=10645, 21=2, 11=algo20250324071050, 60=2025-03-24-07:10:50, 54=1, 44=45.43, 10=0252,
fixlog20250324070746.log:8=FIX4.4, 35=D, 34=115, 49=M3, 56=MS, 52=2025-03-24-07:10:52, 55=, 40=2, 38=13276, 21=2, 11=algo20250324071052, 60=2025-03-24-07:10:52, 54=2, 44=, 10=0252,
